               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.023635,            0.016357,           0.0080426,             0.81812,             0.81496,             0.81551,             0.45433,            0.023653,           0.0070839,           0.0036637,            0.006106,            0.006106,            0.006106
                  61,            0.025436,            0.017076,           0.0070975,             0.85011,             0.81994,             0.85458,             0.49748,            0.023125,           0.0068302,           0.0029059,             0.00604,             0.00604,             0.00604
                  62,            0.024586,            0.017449,           0.0083967,             0.86939,             0.78964,             0.86805,             0.50664,            0.021338,           0.0069566,           0.0024386,            0.005974,            0.005974,            0.005974
                  63,            0.023487,            0.016419,           0.0077643,             0.83067,             0.78698,             0.84952,             0.49579,            0.022654,           0.0067904,           0.0020464,            0.005908,            0.005908,            0.005908
                  64,            0.023503,            0.016951,           0.0069649,             0.78881,             0.84536,             0.84133,             0.50253,            0.023205,           0.0068062,            0.002202,            0.005842,            0.005842,            0.005842
                  65,            0.023235,            0.016728,            0.007944,             0.84614,             0.75863,             0.83927,             0.50176,            0.022152,           0.0068133,           0.0027087,            0.005776,            0.005776,            0.005776
                  66,            0.022898,            0.016407,           0.0082584,             0.82702,             0.80871,             0.84416,             0.48137,            0.022342,           0.0071821,           0.0025921,             0.00571,             0.00571,             0.00571
                  67,            0.023646,            0.016343,           0.0082326,             0.85762,             0.78891,             0.85631,             0.53192,            0.021793,           0.0069242,           0.0032381,            0.005644,            0.005644,            0.005644
                  68,            0.022633,            0.016632,           0.0070193,             0.81449,             0.75696,              0.8382,             0.50173,            0.021008,            0.006826,           0.0027516,            0.005578,            0.005578,            0.005578
                  69,             0.02298,            0.017354,           0.0075427,             0.86731,             0.84969,             0.88468,             0.51131,            0.020449,           0.0067607,           0.0024904,            0.005512,            0.005512,            0.005512
                  70,            0.023809,            0.016888,           0.0084353,             0.88532,             0.79689,             0.87593,             0.53621,            0.020879,           0.0068811,           0.0020761,            0.005446,            0.005446,            0.005446
                  71,            0.022215,            0.016276,           0.0079228,              0.8436,             0.78485,             0.85683,             0.50485,            0.020822,           0.0073256,           0.0024089,             0.00538,             0.00538,             0.00538
                  72,            0.022529,            0.016626,           0.0070653,             0.72727,             0.82581,             0.80654,             0.46929,             0.02156,           0.0069783,           0.0055923,            0.005314,            0.005314,            0.005314
                  73,            0.023107,            0.017119,           0.0054373,             0.82714,             0.81926,              0.8444,             0.51242,            0.020204,           0.0071597,           0.0034152,            0.005248,            0.005248,            0.005248
                  74,            0.022633,            0.016702,           0.0071337,             0.79543,             0.87307,             0.83703,             0.49728,            0.020353,            0.007337,            0.002692,            0.005182,            0.005182,            0.005182
                  75,            0.022448,            0.016833,           0.0067636,             0.86658,             0.82396,             0.89426,               0.548,             0.02005,           0.0069524,           0.0024693,            0.005116,            0.005116,            0.005116
                  76,            0.022521,              0.0159,           0.0072129,             0.80262,             0.80672,             0.84466,             0.48488,            0.022318,           0.0070898,           0.0018538,             0.00505,             0.00505,             0.00505
                  77,            0.022349,            0.015898,           0.0077656,             0.77947,             0.84658,             0.87466,             0.50045,            0.022347,           0.0069187,           0.0023164,            0.004984,            0.004984,            0.004984
                  78,            0.023542,            0.016151,           0.0061786,             0.84317,             0.81275,             0.83998,             0.51791,            0.022959,           0.0073651,           0.0040415,            0.004918,            0.004918,            0.004918
                  79,             0.02126,            0.016115,           0.0055322,             0.83524,             0.79656,             0.83309,             0.49298,            0.022014,           0.0073397,           0.0034023,            0.004852,            0.004852,            0.004852
